Security Value ,Güvenlik Değeri,
Process Loan Security Shortfall,Kredi Güvenlik Açığı Süreci,
Loan To Value Ratio,Kredi / Değer Oranı,
Unpledge Time,Rehin Zamanı,
Loan Name,Kredi Adı,
Penalty Interest Rate (%) Per Day,Günlük Ceza Faiz Oranı (%),
Penalty Interest Rate is levied on the pending interest amount on a daily basis in case of delayed repayment ,"Gecikmeli geri ödeme durumunda, günlük olarak alınan faiz oranı tahakkuk eden faiz oranı alınır.",
Grace Period in Days,Gün olarak Ek Süre,
No. of days from due date until which penalty won't be charged in case of delay in loan repayment,"Kredi geri ödemesinde gecikme olması durumunda, vade kurallarından cezanın uygulanmayacağı gün sayısı",
Pledge,Rehin,
Post Haircut Amount,Post Saç Kesimi Miktarı,
Process Type,İşlem türü,
Update Time,Zamanı Güncelle,
Proposed Pledge,Yetenekli Rehin,
Total Payment,Toplam Ödeme,
Balance Loan Amount,Bakiye Kredi Miktarı,
Is Accrued,Tahakkuk Edildi,
Sanctioned Loan Amount,Onaylanan Kredi Tutarı,
Sanctioned Amount Limit,Onaylanan Tutar Sınırı,
Unpledge,Taahhüdü iptal et,
Haircut,Saç Kesimi,
Current Value,Geçerli Değer,
Loan Repayment and Closure,Kredi Geri Ödeme ve Kapanışı,
Loan Security Status,Kredi Güvenlik Durumu,
Disbursement Details,Harcama Ayrıntıları,
Reference No,Referans Numarası,
Haircut percentage is the percentage difference between market value of the Loan Security and the value ascribed to that Loan Security when used as collateral for that loan.,"Kesinti yüzdesi, Kredi Teminatının piyasa değeri ile o kredi için teminat olarak teminat olarak o Kredi Güvencesine atfedilen değer arasındaki yüzde farkıdır.",
Loan To Value Ratio expresses the ratio of the loan amount to the value of the security pledged. A loan security shortfall will be triggered if this falls below the specified value for any loan ,"Kredi Değer Oranı, kredi borçlarının taahhüdünde bulunulan menkul değerin harcanması gerektiğini ifade eder. Herhangi bir kredi için belirtilen değerin altına düşerse bir kredi güvenlik açığı tetiklenir",
Loan Security {0} added multiple times,Kredi Güvenliği {0} birden çok kez eklendi,
Loan Securities with different LTV ratio cannot be pledged against one loan,Farklı LTV kredilerine sahip Kredi Menkul Kıymetleri tek bir krediye karşı rehin olamaz,
Qty or Amount is mandatory for loan security!,Kredi kurtarma için Miktar veya Miktar müşterileri!,
Only submittted unpledge requests can be approved,Yalnızca gönderilmiş makbuz işlemleri onaylanabilir,
Interest Amount or Principal Amount is mandatory,Faiz Tutarı veya Anapara Tutarı yaptırımları,
Disbursed Amount cannot be greater than {0},Ödenen Tutar en fazla {0} olabilir,
Row {0}: Loan Security {1} added multiple times,Satır {0}: Kredi Teminatı {1} birden çok kez eklendi,
Loan Write Off,Kredi İptali,
Loan Write Off,Kredi İptali,
Loan Write Off will be automatically created on loan closure request if pending amount is below this limit,"Kredi kapatma talebinde, bekleyen tutarın bu limitin altında olması durumunda, Kredi Kapatma talebi otomatik olarak oluşturulur",
Disbursement Account,Harcama Hesabı,
Repayment Account,Geri Ödeme Hesabı,
Auto Write Off Amount ,Otomatik Kapatma Tutarı,
30/360,30/360,
30/365,30/365,
Accrual Date,Tahakkuk Tarihi,
Accrual Details,Tahakkuk Detayları,
Accrual Type,Tahakkuk Türü,
Actual/360,Actual/360,
Actual/365,Actual/365,
Actual/Actual,Actual/Actual,
Add To First EMI,İlk EMI'ye Ekle,
Add to First EMI,İlk EMI'ye Ekle,
Add to first repayment,İlk geri ödemeye ekle,
Add to Last EMI,Son EMI'ye Ekle,
Additional Interest,Ek Faiz,
Additional Interest Accounts,Ek Faiz Hesapları,
Additional Interest Accrued,Tahakkuk Eden Ek Faiz,
Additional Interest Amount,Ek Faiz Tutarı,
Additional Interest Income,Ek Faiz Geliri,
Additional Interest Receivable,Ek Faiz Alacağı,
Additional Interest Suspense,Ek Faiz Geçici Hesabı,
Additional Interest Suspense Entry,Ek Faiz Geçici Hesap Kaydı,
Additional Interest Waiver,Ek Faiz Feragati,
Address Details,Adres Detayları,
Address HTML,Adres HTML,
Address Line 1,Adres Satırı 1,
Address Line 2,Adres Satırı 2,
Address Links,Adres Bağlantıları,
Adds the option to have employee loans,Personel kredilerine sahip olma seçeneğini ekler,
Adds unique constraints to the email and phone number fields of the Customer DocType.,Müşteri DocType'ının e-posta ve telefon numarası alanlarına benzersiz kısıtlamalar ekler.,
Adjust within the EMI amount,EMI tutarı içinde düzelt,
Adjusted Amount,Düzeltilen Tutar,
Adjusted Interest,Düzeltilen Faiz,
Adjustment Account,Düzeltme Hesabı,
Adjustment Details,Düzeltme Detayları,
Adjustment Receivable Account,Düzeltme Alacak Hesabı,
Adjustment Type,Düzeltme Türü,
Adjustments,Düzeltmeler,
Advance Payment,Avans Ödemesi,
Age,Yaş,
All entries on and after this date will be reposted,Bu tarihte ve sonrasındaki tüm kayıtlar yeniden kaydedilecektir,
Allocated Date,Tahsis Tarihi,
Allocated Demands,Tahsis Edilen Talepler,
Amortized Over Tenure,Vade Boyunca İtfa Edilir,
Amount on which interest is calculated,Faizin hesaplandığı tutar,
Applicant (Borrower),Başvuru Sahibi (Borçlu),
Applicant Details,Başvuru Sahibi Detayları,
Applicant Email,Başvuru Sahibi E-postası,
Applicant Mobile,Başvuru Sahibi Cep Telefonu,
Applicant Phone Number,Başvuru Sahibi Telefon Numarası,
Application Date,Başvuru Tarihi,
Authentication Details,Kimlik Doğrulama Detayları,
Auto create customer,Otomatik müşteri oluştur,
Auto create disbursement on loan booking,Kredi kaydında otomatik masraf oluştur,
Available Amount,Mevcut Tutar,
Available Limit,Mevcut Limit,
Available Limit Amount,Mevcut Limit Tutarı,
Available Security Deposit,Mevcut Güvenlik Depozitosu,
Available Security Value,Mevcut Güvenlik Değeri,
Balance Amount,Bakiye Tutarı,
Balance Charges,Bakiye Ücretleri,
Balance Overdue Principal,Bakiye Vadesi Geçmiş Anapara,
Base Amount,Baz Tutar,
Basic Details,Temel Detaylar,
Bi-Weekly,İki Haftada Bir,
Billed Separately,Ayrı Faturalandırıldı,
Borrower Portal,Borçlu Portalı,
Both Fixed Deposit and Corporate Guarantee,Hem Vadeli Mevduat Hem Kurumsal Garanti,
BPI,BPI,
BPI Amount Difference,BPI Tutar Farkı,
BPI Difference Date,BPI Fark Tarihi,
BPI Recovery Method,BPI Tahsilat Yöntemi,
BPI Treatment,BPI İşlemi,
Branch Details,Görev Bölümü Detayları,
Broken Period Interest,Kıst Dönem Faizi,
Broken Period Interest Days,Kıst Dönem Faizi Günleri,
Broken Period Interest Recovery Account,Kıst Dönem Faizi Tahsilat Hesabı,
Bulk Repayment Log,Toplu Geri Ödeme Günlüğü,
Business,İşletme,
Cancel Future Accruals and Demands,Gelecek Tahakkukları ve Talepleri İptal Et,
Cancel future EMI Demands,Gelecek EMI Taleplerini İptal Et,
Cancellation Date,İptal Tarihi,
Capitalize,Kapitalize Et,
Capitalize Amount,Kapitalize Edilen Tutar,
Carry Forward,Devret,
Centralized,Merkezi,
Change Date,Değişiklik Tarihi,
Charge,Ücret,
Charge Accounts,Ücret Hesapları,
Charge Amount,Ücret Tutarı,
Charge Based On,Ücret Esası,
Charge Code,Ücret Kodu,
Charge Payment,Ücret Ödemesi,
Charge Type,Ücret Türü,
Charges,Ücretler,
Charges Capitalization,Ücret Kapitalizasyonu,
Charges Overdue,Vadesi Geçmiş Ücretler,
Charges Treatment,Ücret İşlemi,
Charges Waiver,Ücret Feragati,
Charges Waiver Amount,Ücret Feragat Tutarı,
City,Şehir,
Classification Code,Sınıflandırma Kodu,
Classification Name,Sınıflandırma Adı,
Clear demand allocation before repost,Yeniden kayıttan önce talep tahsisini temizle,
Closure Date,Kapanış Tarihi,
Co Lender Schedule,Ortak Kredi Veren Planı,
Co Lending,Ortak Kredilendirme,
Co-Applicants,Müşterek Başvuru Sahipleri,
Co-Lender Schedule,Ortak Kredi Veren Planı,
Collection at partner's percentage,Ortak yüzdesinde tahsilat,
Collection Offset Logic Based On,Tahsilat Mahsup Mantığı Esası,
Collection Offset Sequence,Tahsilat Mahsup Sırası,
Collection Offset Sequence for Settlement Collection,Uzlaşma Tahsilatı için Tahsilat Mahsup Sırası,
Collection Offset Sequence for Standard Asset,Standart Varlık için Tahsilat Mahsup Sırası,
Collection Offset Sequence for Sub Standard Asset,Standart Altı Varlık için Tahsilat Mahsup Sırası,
Collection Offset Sequence for Written Off Asset,Kapatılan Varlık için Tahsilat Mahsup Sırası,
Collection Percentage,Tahsilat Yüzdesi,
Company Collection Percentage,Şirket Tahsilat Yüzdesi,
Company Name,Şirket Adı,
Complete KYC,KYC'yi Tamamla,
Completed Tenure,Tamamlanan Vade,
Components,Bileşenler,
Converted to Application,Başvuruya Dönüştürüldü,
Corporate Guarantee Only,Yalnızca Kurumsal Garanti,
Credit Account,Alacak Hesabı,
Credit Adjustment,Alacak Düzeltmesi,
Credit Adjustment Amount,Alacak Düzeltme Tutarı,
Current Disbursed Amount,Mevcut Harcanan Tutar,
Current Principal Amount,Mevcut Anapara Tutarı,
Current Restructure Count,Mevcut Yeniden Yapılandırma Sayısı,
Customer Refund Account,Müşteri İade Hesabı,
Cyclic Day Of the Month,Ayın Döngüsel Günü,
Date Of Birth,Doğum Tarihi,
Day of every month on which the repayment date is considered,Geri ödeme tarihinin dikkate alındığı her ayın günü,
Days Past Due,Vadesi Geçmiş Günler,
Days Past Due Log,Vadesi Geçmiş Günler Günlüğü,
Days Past Due Threshold,Vadesi Geçmiş Gün Eşiği,
Days Past Due Threshold For Auto Write Off,Otomatik Kapatma için Vadesi Geçmiş Gün Eşiği,
Days Past Due Threshold for NPA,NPA için Vadesi Geçmiş Gün Eşiği,
Debit Adjustment,Borç Düzeltmesi,
Debit Adjustment Amount,Borç Düzeltme Tutarı,
Decentralized,Merkezi Olmayan,
Default Receivable Account,Varsayılan Alacak Hesabı,
Default Suspense Account,Varsayılan Geçici Hesap,
Default Waiver Account,Varsayılan Feragat Hesabı,
Default Write Off Account,Varsayılan Kapatma Hesabı,
Delete GL Entries,GL Kayıtlarını Sil,
Delinked,Bağlantısı Kesildi,
Delinquent Available Limit,Temerrüt Mevcut Limiti,
Delinquent In Process Limit,Temerrüt İşlemdeki Limiti,
Delinquent Limit,Temerrüt Limiti,
Delinquent Limit Amount,Temerrüt Limit Tutarı,
Delinquent Limit Percent,Temerrüt Limit Yüzdesi,
Delinquent Principal Outstanding,Temerrütteki Ödenmemiş Anapara,
Delinquent Utilized Limit,Temerrüt Kullanılan Limiti,
Demand Amount,Talep Tutarı,
Demand Date,Talep Tarihi,
Demand Generated,Talep Oluşturuldu,
Demand Subtype,Talep Alt Türü,
Demand Type,Talep Türü,
Deposit Amount,Depozito Tutarı,
Deposit Date,Depozito Tarihi,
Disbursed,Ödeme Yapıldı,
Disbursement,Masraf,
Disbursement Charges,Masraf Ücretleri,
Disbursement References,Masraf Referansları,
Due Date,Vade Tarihi,
Effective Date,Yürürlük Tarihi,
Email OTP,E-posta OTP,
Email Verification Status,E-posta Doğrulama Durumu,
EMI,EMI,
EMI (PMT) based,EMI (PMT) bazlı,
EMI (Principal + Interest),EMI (Anapara + Faiz),
Employee Loans,Personel Kredileri,
Enable Loan Accounting,Kredi Muhasebesini Etkinleştir,
Enable Partner Accounting,Ortak Muhasebesini Etkinleştir,
End of the current month,Mevcut ayın sonu,
Entries To Cancel,İptal Edilecek Kayıtlar,
Entries To Repost,Yeniden Kaydedilecek Kayıtlar,
Excess Amount,Fazla Tutar,
Excess Amount Acceptance Limit,Fazla Tutar Kabul Limiti,
Excess Amount Paid,Ödenen Fazla Tutar,
Excess amount repayment limit during loan closure,Kredi kapanışı sırasında fazla tutar geri ödeme limiti,
Failed Repayment,Başarısız Geri Ödeme,
Fixed Amount,Sabit Tutar,
Fixed Deposit Only,Yalnızca Vadeli Mevduat,
Flat Interest Rate,Düz Faiz Oranı,
FLDG,FLDG,
FLDG Account,FLDG Hesabı,
FLDG Corporate Guarantee Percentage,FLDG Kurumsal Garanti Yüzdesi,
FLDG Fixed Deposit Percentage,FLDG Vadeli Mevduat Yüzdesi,
FLDG Limit Calculation Component,FLDG Limit Hesaplama Bileşeni,
FLDG Trigger Date,FLDG Tetikleme Tarihi,
FLDG Trigger DPD,FLDG Tetikleme DPD,
FLDG Triggered,FLDG Tetiklendi,
Force Update DPD in Loan,Kredide DPD'yi Zorla Güncelle,
Foreclosure Type,Erken Kapama Türü,
Freeze Account,Hesabı Dondur,
Freeze Date,Dondurma Tarihi,
From Branch,Kaynak Görev Bölümü,
Full Settlement,Tam Uzlaşma,
Full Settlement Job,Tam Uzlaşma İşi,
"If enabled, no interest will be accrued from each disbursement date till the end of the calendar month. Interest accrual will begin from the 1st of the following month.","Etkinleştirilirse, her masraf tarihinden takvim ayının sonuna kadar faiz tahakkuk etmeyecektir. Faiz tahakkuku takip eden ayın 1'inden itibaren başlayacaktır.",
Ignore On Cancel Amount Update,İptalde Tutar Güncellemesini Yoksay,
In Process Limit,İşlemdeki Limit,
Income,Gelir,
Income Account,Gelir Hesabı,
Incoming,Gelen,
Individual,Bireysel,
Initiate,Başlat,
Initiated,Başlatıldı,
Interest Accounts,Faiz Hesapları,
Interest Accrued Account,Tahakkuk Eden Faiz Hesabı,
Interest Adjustment,Faiz Düzeltmesi,
Interest Capitalization,Faiz Kapitalizasyonu,
Interest Carry Forward,Faiz Devri,
Interest Day-Count Convention,Faiz Gün Sayım Yöntemi,
Interest Overdue,Vadesi Geçmiş Faiz,
Interest Receivable Account,Faiz Alacak Hesabı,
Interest Treatment,Faiz İşlemi,
Interest Type,Faiz Türü,
Interest Waiver,Faiz Feragati,
Interest Waiver Account,Faiz Feragat Hesabı,
Interest Waiver Amount,Faiz Feragat Tutarı,
Internal Foreclosure,Dahili Erken Kapama,
Invoice Date,Fatura Tarihi,
IRAC Provisioning Configuration,IRAC Karşılık Yapılandırması,
Is Backdated,Geriye Dönük mü,
Is Excess Amount Refund,Fazla Tutar İadesi mi,
Is Imported,İçe Aktarıldı mı,
Is Invoice generated,Fatura oluşturuldu mu,
Is NPA,NPA mı,
Is Partial Pre-Paid Interest,Kısmi Ön Ödemeli Faiz mi,
Is Security Amount Refund,Güvenlik Tutarı İadesi mi,
Is Settlement Write Off,Uzlaşma Kapatması mı,
Is Write Off Waiver,Kapatma Feragati mi,
Is Written Off,Kapatıldı mı,
KYC Complete,KYC Tamamlandı,
KYC Pending,KYC Bekliyor,
Last Accrual Date,Son Tahakkuk Tarihi,
Lead Source,Müşteri Adayı Kaynağı,
Lending,Kredilendirme,
Lending Settings,Kredilendirme Ayarları,
Limit Amount,Limit Tutarı,
Limit Applicable End,Limit Uygulama Bitişi,
Limit Applicable Start,Limit Uygulama Başlangıcı,
Limit Percent,Limit Yüzdesi,
Limit Renewal,Limit Yenileme,
Limits,Limitler,
Line of Credit,Kredi Hattı,
Loan Accounts,Kredi Hesapları,
Loan Accrual Frequency,Kredi Tahakkuk Sıklığı,
Loan Accrual Repost,Kredi Tahakkuk Yeniden Kaydı,
Loan Accrual Repost Detail,Kredi Tahakkuk Yeniden Kayıt Detayı,
Loan Adjustment,Kredi Düzeltmesi,
Loan Adjustment Detail,Kredi Düzeltme Detayı,
Loan Amount Details,Kredi Tutarı Detayları,
Loan Amount Percentage,Kredi Tutarı Yüzdesi,
Loan Application Document,Kredi Başvuru Belgesi,
Loan Balance Adjustment,Kredi Bakiye Düzeltmesi,
Loan Booking,Kredi Kaydı,
Loan Booking Charges,Kredi Kayıt Ücretleri,
Loan Category,Kredi Kategorisi,
Loan Category Code,Kredi Kategori Kodu,
Loan Category Name,Kredi Kategori Adı,
Loan Charge Reference,Kredi Ücret Referansı,
Loan Charges,Kredi Ücretleri,
Loan Classification,Kredi Sınıflandırması,
Loan Classification Details,Kredi Sınıflandırma Detayları,
Loan Classification Range,Kredi Sınıflandırma Aralığı,
Loan Classification Ranges,Kredi Sınıflandırma Aralıkları,
Loan Closure,Kredi Kapanışı,
Loan Co-Applicants,Kredi Müşterek Başvuru Sahipleri,
Loan Credit Limits,Kredi Limitleri,
Loan Defaults,Kredi Varsayılanları,
Loan Demand,Kredi Talebi,
Loan Demand Details,Kredi Talebi Detayları,
Loan Demand Offset Detail,Kredi Talebi Mahsup Detayı,
Loan Demand Offset Order,Kredi Talebi Mahsup Sırası,
Loan Disbursement Charge,Kredi Masraf Ücreti,
Loan Disbursement Charges,Kredi Masraf Ücretleri,
Loan Disbursement ID,Kredi Masraf Kimliği,
Loan Document Type,Kredi Belge Türü,
Loan Freeze Log,Kredi Dondurma Günlüğü,
Loan Import Details,Kredi İçe Aktarma Detayları,
Loan IRAC Provisioning Configuration,Kredi IRAC Karşılık Yapılandırması,
Loan is a Non Performing Asset,"Kredi, Takipteki Bir Varlıktır",
Loan Lead,Kredi Müşteri Adayı,
Loan Limit Change Log,Kredi Limit Değişiklik Günlüğü,
Loan NPA Log,Kredi NPA Günlüğü,
Loan Origination,Kredi Tahsisi,
Loan Origination Settings,Kredi Tahsisi Ayarları,
Loan Partner,Kredi Ortağı,
Loan Partner Address,Kredi Ortağı Adresi,
Loan Partner Adhoc Charges Shared,Kredi Ortağı Paylaşılan Ad Hoc Ücretler,
Loan Partner Details,Kredi Ortağı Detayları,
Loan Partner Interest Rate,Kredi Ortağı Faiz Oranı,
Loan Partner Payment Ratio,Kredi Ortağı Ödeme Oranı,
Loan Partner Rate Of Interest,Kredi Ortağı Faiz Oranı,
Loan Partner Repayment Schedule Type,Kredi Ortağı Geri Ödeme Planı Türü,
Loan Partner Share Details,Kredi Ortağı Pay Detayları,
Loan Partner Share Percentage,Kredi Ortağı Pay Yüzdesi,
Loan Partner Shareable,Kredi Ortağı Paylaşılabilir,
Loan Partners,Kredi Ortakları,
Loan Product,Kredi Ürünü,
Loan Product Loan Partner,Kredi Ürünü Kredi Ortağı,
Loan Purpose,Kredi Amacı,
Loan Refund,Kredi İadesi,
Loan Repayment Charges,Kredi Geri Ödeme Ücretleri,
Loan Repayment Entries,Kredi Geri Ödeme Kayıtları,
Loan Repayment Repost,Kredi Geri Ödeme Yeniden Kaydı,
Loan Repayment Repost Cancel Detail,Kredi Geri Ödeme Yeniden Kayıt İptal Detayı,
Loan Repayment Repost Detail,Kredi Geri Ödeme Yeniden Kayıt Detayı,
Loan Repayment Schedule,Kredi Geri Ödeme Planı,
Loan Repayment Schedule Detail,Kredi Geri Ödeme Planı Detayı,
Loan Repayment Type,Kredi Geri Ödeme Türü,
Loan Restructure,Kredi Yeniden Yapılandırma,
Loan Restructure Charges,Kredi Yeniden Yapılandırma Ücretleri,
Loan Restructure Count,Kredi Yeniden Yapılandırma Sayısı,
Loan Restructure Details,Kredi Yeniden Yapılandırma Detayları,
Loan Restructure Limit Log,Kredi Yeniden Yapılandırma Limit Günlüğü,
Loan Security Assignment,Kredi Güvenlik Ataması,
Loan Security Deposit,Kredi Güvenlik Depozitosu,
Loan Security Release,Kredi Güvenlik Serbest Bırakma,
Loan Settings,Kredi Ayarları,
Loan Transfer,Kredi Transferi,
Loan Transfer Detail,Kredi Transfer Detayı,
Loans,Krediler,
Loans will be marked as NPA when the days past due count exceed this threshold,Vadesi geçmiş gün sayısı bu eşiği aştığında krediler NPA olarak işaretlenecektir,
Manual Foreclosure,Manuel Erken Kapama,
Manual NPA,Manuel NPA,
Manual Remarks,Manuel Açıklamalar,
Manually marked as NPA,Manuel olarak NPA işaretlendi,
Maturity Date,Vade Bitiş Tarihi,
Max DPD Range,Maksimum DPD Aralığı,
Maximum Limit Amount,Maksimum Limit Tutarı,
Migration Date,Geçiş Tarihi,
Min DPD Range,Minimum DPD Aralığı,
Minimum days between Disbursement date and first Repayment date,Masraf tarihi ile ilk Geri Ödeme tarihi arasındaki minimum gün sayısı,
Minimum Partner Loan Amount Percentage,Minimum Ortak Kredi Tutarı Yüzdesi,
Misc,Çeşitli,
Mobile Verification Status,Cep Telefonu Doğrulama Durumu,
Monthly as per cycle date,Döngü tarihine göre aylık,
Monthly as per repayment start date,Geri ödeme başlangıç tarihine göre aylık,
Moratorium Details,Moratoryum Detayları,
Moratorium End Date,Moratoryum Bitiş Tarihi,
Moratorium Tenure,Moratoryum Vadesi,
Moratorium Type,Moratoryum Türü,
New Loan Amount,Yeni Kredi Tutarı,
New Monthly Repayment Amount,Yeni Aylık Geri Ödeme Tutarı,
New Rate Of Interest,Yeni Faiz Oranı,
New Repayment Method,Yeni Geri Ödeme Yöntemi,
New Repayment Period in Months,Ay Cinsinden Yeni Geri Ödeme Süresi,
New Repayment Start Date,Yeni Geri Ödeme Başlangıç Tarihi,
No Interest Accrual Till Month End,Ay Sonuna Kadar Faiz Tahakkuku Yok,
Normal,Normal,
Normal Interest,Normal Faiz,
Normal Interest Journal Entry,Normal Faiz Yevmiye Kaydı,
Normal Limit,Normal Limit,
Normal Repayment,Normal Geri Ödeme,
Normal Restructure,Normal Yeniden Yapılandırma,
NPA,NPA,
NPA Date,NPA Tarihi,
NPA Flag,NPA Bayrağı,
Number Of Days,Gün Sayısı,
Old EMI,Eski EMI,
Old Loan Amount,Eski Kredi Tutarı,
Old Rate of Interest,Eski Faiz Oranı,
Old Repayment Frequency,Eski Geri Ödeme Sıklığı,
Old Tenure,Eski Vade,
On top of first EMI,İlk EMI'nin üzerine,
One Time,Tek Seferlik,
Opening Additional Outstanding,Açılış Ödenmemiş Ek Tutar,
Opening Charge Outstanding,Açılış Ödenmemiş Ücret,
Opening Interest Outstanding,Açılış Ödenmemiş Faiz,
Opening Penalty Outstanding,Açılış Ödenmemiş Ceza,
Opening Principal Outstanding,Açılış Ödenmemiş Anapara,
Organization Type,Kuruluş Türü,
